Date,APPLE,MICROSOFT
2020-04-28,68.01141357421875,164.08233642578125
2020-04-29,70.24525451660156,171.44528198242188
2020-04-30,71.72716522216797,173.1652374267578
2020-05-01,70.5724105834961,168.6817626953125
2020-05-04,71.5709228515625,172.80772399902344
2020-05-05,72.6451187133789,174.6629638671875
2020-05-06,73.39461517333984,176.3829345703125
2020-05-07,74.15386962890625,177.4071807861328
2020-05-08,75.91887664794922,178.45071411132812
2020-05-11,77.11346435546875,180.44126892089844
2020-05-12,76.2322006225586,176.3539581298828
2020-05-13,75.31178283691406,173.68704223632812
2020-05-14,75.7744369506836,174.4407196044922
2020-05-15,75.32646179199219,176.98204040527344
2020-05-18,77.10123443603516,178.67298889160156
2020-05-19,76.65570068359375,177.43614196777344
2020-05-20,78.14652252197266,179.8973388671875
2020-05-21,77.56391143798828,177.73651123046875
2020-05-22,78.06330108642578,177.81405639648438
2020-05-26,77.53453063964844,175.93431091308594
2020-05-27,77.87234497070312,176.1668243408203
2020-05-28,77.90663146972656,175.76956176757812
2020-05-29,77.83074188232422,177.56214904785156
2020-06-01,78.78787994384766,177.1551513671875
2020-06-02,79.15262603759766,179.1706085205078
2020-06-03,79.58836364746094,179.6066436767578
2020-06-04,78.90293884277344,177.2423553466797
2020-06-05,81.1501693725586,181.38949584960938
2020-06-08,81.62998962402344,182.51353454589844
2020-06-09,84.20769500732422,183.9088134765625
2020-06-10,86.37413024902344,190.73031616210938
2020-06-11,82.2272720336914,180.48838806152344
2020-06-12,82.93720245361328,181.9127655029297
2020-06-15,83.96289825439453,183.07554626464844
2020-06-16,86.18809509277344,187.5618133544922
2020-06-17,86.0681381225586,188.21099853515625
2020-06-18,86.10242462158203,190.22645568847656
2020-06-19,85.6103744506836,189.09274291992188
2020-06-22,87.85027313232422,194.3445281982422
2020-06-23,89.72541809082031,195.64292907714844
2020-06-24,88.14157104492188,191.69927978515625
2020-06-25,89.31169128417969,194.12164306640625
2020-06-26,86.56754302978516,190.2361602783203
2020-06-29,88.5626220703125,192.28065490722656
2020-06-30,89.3019027709961,197.1932830810547
2020-07-01,89.13299560546875,198.34634399414062
2020-07-02,89.13299560546875,199.85792541503906
2020-07-06,91.51732635498047,204.16012573242188
2020-07-07,91.23336791992188,201.78614807128906
2020-07-08,93.35819244384766,206.22396850585938
2020-07-09,93.75967407226562,207.667724609375
2020-07-10,93.9236831665039,207.0379180908203
2020-07-13,93.49040222167969,200.64279174804688
2020-07-14,95.0374984741211,201.88307189941406
2020-07-15,95.69110107421875,201.58267211914062
2020-07-16,94.51364135742188,197.59054565429688
2020-07-17,94.32270050048828,196.5828094482422
2020-07-20,96.31046295166016,205.0321807861328
2020-07-21,94.98119354248047,202.27061462402344
2020-07-22,95.24803161621094,205.1775360107422
2020-07-23,90.91266632080078,196.2533721923828
2020-07-24,90.68746185302734,195.05189514160156
2020-07-27,92.83677673339844,197.52276611328125
2020-07-28,91.31170654296875,195.7495574951172
2020-07-29,93.0619888305664,197.72622680664062
2020-07-30,94.18806457519531,197.57118225097656
2020-07-31,104.04849243164062,198.64669799804688
2020-08-03,106.6702651977539,209.81884765625
2020-08-04,107.38260650634766,206.66970825195312
2020-08-05,107.77184295654297,206.33056640625
2020-08-06,111.53192901611328,209.63473510742188
2020-08-07,108.99617767333984,205.8848876953125
2020-08-10,110.58039093017578,201.78614807128906
2020-08-11,107.29175567626953,197.06732177734375
2020-08-12,110.85751342773438,202.69696044921875
2020-08-13,112.81942749023438,202.22222900390625
2020-08-14,112.7188720703125,202.4159698486328
2020-08-17,112.4245834350586,203.75315856933594
2020-08-18,113.36139678955078,204.9255828857422
2020-08-19,113.50361633300781,203.6823272705078
2020-08-20,116.02222442626953,208.42230224609375
2020-08-21,122.00113677978516,206.9070587158203
2020-08-24,123.46031188964844,207.55784606933594
2020-08-25,122.44747924804688,210.258056640625
2020-08-26,124.1126480102539,214.8037567138672
2020-08-27,122.62894439697266,220.07789611816406
2020-08-28,122.43032836914062,222.34103393554688
2020-08-31,126.58219909667969,219.0580596923828
2020-09-01,131.62429809570312,220.74813842773438
2020-09-02,128.89724731445312,225.00247192382812
2020-09-03,118.5776138305664,211.0642547607422
2020-09-04,118.65609741210938,208.10174560546875
2020-09-08,110.67113494873047,196.84432983398438
2020-09-09,115.08541870117188,205.22669982910156
2020-09-10,111.328369140625,199.4766082763672
2020-09-11,109.86676025390625,198.17503356933594
2020-09-14,113.16275024414062,199.51544189453125
2020-09-15,113.33931732177734,202.7887420654297
2020-09-16,109.99427795410156,199.16575622558594
2020-09-17,108.23835754394531,197.087158203125
2020-09-18,104.80503845214844,194.63949584960938
2020-09-21,107.98332977294922,196.72779846191406
2020-09-22,109.68038177490234,201.4677276611328
2020-09-23,105.07970428466797,194.83375549316406
2020-09-24,106.15875244140625,197.35916137695312
2020-09-25,110.14140319824219,201.85626220703125
2020-09-28,112.7703857421875,203.4298095703125
2020-09-29,111.91693878173828,201.3123321533203
2020-09-30,113.60418701171875,204.29425048828125
2020-10-01,114.56552124023438,206.36314392089844
2020-10-02,110.8673095703125,200.27304077148438
2020-10-05,114.28104400634766,204.3428497314453
2020-10-06,111.0046615600586,200.00111389160156
2020-10-07,112.88809967041016,203.80860900878906
2020-10-08,112.78018188476562,204.53707885742188
2020-10-09,114.74209594726562,209.6169891357422
2020-10-12,122.03058624267578,215.0465545654297
2020-10-13,118.79342651367188,216.46469116210938
2020-10-14,118.8817138671875,214.52207946777344
2020-10-15,118.41085815429688,213.3564910888672
2020-10-16,116.75304412841797,213.3564910888672
2020-10-19,113.77095031738281,208.0726318359375
2020-10-20,115.27182006835938,208.49029541015625
2020-10-21,114.64400482177734,208.635986328125
2020-10-22,113.54532623291016,208.723388671875
2020-10-23,112.84886169433594,210.02491760253906
2020-10-26,112.8586654663086,204.05142211914062
2020-10-27,114.37914276123047,207.13043212890625
2020-10-28,109.08199310302734,196.86378479003906
2020-10-29,113.12351989746094,198.84523010253906
2020-10-30,106.78655242919922,196.65980529785156
2020-11-02,106.69827270507812,196.52383422851562
2020-11-03,108.33647155761719,200.50616455078125
2020-11-04,112.76055908203125,210.18035888671875
2020-11-05,116.7628402709961,216.88232421875
2020-11-06,116.63020324707031,217.29998779296875
2020-11-09,114.30133056640625,212.12295532226562
2020-11-10,113.9573974609375,204.95474243164062
2020-11-11,117.41632080078125,210.3357696533203
2020-11-12,117.14117431640625,209.25762939453125
2020-11-13,117.19029998779297,210.29690551757812
2020-11-16,118.21224975585938,210.99623107910156
2020-11-17,117.31804656982422,208.30572509765625
2020-11-18,115.98164367675781,205.55947875976562
2020-11-19,116.58106994628906,206.8644256591797
2020-11-20,115.30361938476562,204.8875274658203
2020-11-23,111.87420654296875,204.6148681640625
2020-11-24,113.17127990722656,208.2667999267578
2020-11-25,114.01636505126953,208.27651977539062
2020-11-27,114.566650390625,209.60092163085938
2020-11-30,116.98394775390625,208.47129821777344
2020-12-01,120.59025573730469,210.55535888671875
2020-12-02,120.94402313232422,209.73728942871094
2020-12-03,120.80644989013672,208.63687133789062
2020-12-04,120.12841033935547,208.7537078857422
2020-12-07,121.60238647460938,208.6855010986328
2020-12-08,122.22145080566406,210.3605499267578
2020-12-09,119.66656494140625,206.26068115234375
2020-12-10,121.1012191772461,205.01412963867188
2020-12-11,120.28563690185547,207.68246459960938
2020-12-14,119.66656494140625,208.59791564941406
2020-12-15,125.66070556640625,208.5297088623047
2020-12-16,125.59192657470703,213.54502868652344
2020-12-17,126.46647644042969,213.68136596679688
2020-12-18,124.4618911743164,212.87307739257812
2020-12-21,126.00463104248047,216.76846313476562
2020-12-22,129.59129333496094,218.08314514160156
2020-12-23,128.68727111816406,215.23953247070312
2020-12-24,129.67971801757812,216.92425537109375
2020-12-28,134.3178253173828,219.07650756835938
2020-12-29,132.52940368652344,218.28765869140625
2020-12-30,131.3993682861328,215.88223266601562
2020-12-31,130.3872528076172,216.60289001464844
2021-01-04,127.16415405273438,211.99661254882812
2021-01-05,128.73635864257812,212.20111083984375
2021-01-06,124.40292358398438,206.6988983154297
2021-01-07,128.64793395996094,212.5808868408203
2021-01-08,129.75836181640625,213.87612915039062
2021-01-11,126.7416000366211,211.80186462402344
2021-01-12,126.56476593017578,209.30877685546875
2021-01-13,128.6184539794922,210.68191528320312
2021-01-14,126.67284393310547,207.44876098632812
2021-01-15,124.93354034423828,207.08840942382812
2021-01-19,125.611572265625,210.7793426513672
2021-01-20,129.73870849609375,218.47265625
2021-01-21,134.4946746826172,219.086181640625
2021-01-22,136.65652465820312,220.04058837890625
2021-01-25,140.43968200683594,223.5269775390625
2021-01-26,140.67556762695312,226.2537078857422
2021-01-27,139.5946044921875,226.80880737304688
2021-01-28,134.71087646484375,232.6811065673828
2021-01-29,129.669921875,225.89340209960938
2021-02-01,131.81207275390625,233.3822479248047
2021-02-02,132.64732360839844,233.24595642089844
2021-02-03,131.6155548095703,236.64466857910156
2021-02-04,135.0056610107422,235.6805419921875
2021-02-05,134.58741760253906,235.8656005859375
2021-02-08,134.7350311279297,236.12852478027344
2021-02-09,133.84933471679688,237.39453125
2021-02-10,133.23916625976562,236.4693603515625
2021-02-11,132.98330688476562,238.09568786621094
2021-02-12,133.21949768066406,238.58261108398438
2021-02-16,131.0741424560547,237.32635498046875
2021-02-17,128.761474609375,238.36099243164062
2021-02-18,127.64942932128906,237.96078491210938
2021-02-19,127.80685424804688,235.208251953125
2021-02-22,123.99835205078125,228.90269470214844
2021-02-23,123.86058807373047,227.69236755371094
2021-02-24,123.35868072509766,228.94175720214844
2021-02-25,119.06793212890625,223.5146942138672
2021-02-26,119.33364868164062,226.82363891601562
2021-03-01,125.7599105834961,231.27459716796875
2021-03-02,123.13233184814453,228.27801513671875
2021-03-03,120.12094116210938,222.11886596679688
2021-03-04,118.22159576416016,221.30873107910156
2021-03-05,119.49110412597656,226.0623016357422
2021-03-08,114.5114974975586,221.95294189453125
2021-03-09,119.16634368896484,228.19015502929688
2021-03-10,118.0739974975586,226.8626708984375
2021-03-11,120.02253723144531,231.4600830078125
2021-03-12,119.10731506347656,230.113037109375
2021-03-15,122.02027130126953,229.19552612304688
2021-03-16,123.57518005371094,232.0261688232422
2021-03-17,122.77806091308594,231.37217712402344
2021-03-18,118.61524200439453,225.2033233642578
2021-03-19,118.08383178710938,224.84219360351562
2021-03-22,121.4298095703125,230.3472900390625
2021-03-23,120.59331512451172,231.8992919921875
2021-03-24,118.1822280883789,229.83001708984375
2021-03-25,118.67428588867188,226.7845916748047
2021-03-26,119.28445434570312,230.8256072998047
2021-03-29,119.46159362792969,229.61524963378906
2021-03-30,117.99524688720703,226.3063201904297
2021-03-31,120.20950317382812,230.132568359375
2021-04-01,121.04600524902344,236.55523681640625
2021-04-05,123.89994812011719,243.11456298828125
